Station;Meteorological;Meteorological;Hydrometric
X;0;0;0
Y;0;0;0
Z;0;0;0
Sensor;Precipitation;Temperature;Discharge
Category;Precipitation;Temperature;Flow
Unit;mm/d;C;m3/s
Interpolation;ConstantAfter;ConstantAfter;Linear
01.01.1971 00:00:00;0.0278;7;
02.01.1971 00:00:00;3.0456;4.8;
03.01.1971 00:00:00;1.0907;7.1;
04.01.1971 00:00:00;11.0382;10;
05.01.1971 00:00:00;0.001;11.6;
06.01.1971 00:00:00;0;12.2;
07.01.1971 00:00:00;0.0017;11.6;
08.01.1971 00:00:00;0.0019;12.4;
09.01.1971 00:00:00;0;11.2;
10.01.1971 00:00:00;9.1691;12.9;
11.01.1971 00:00:00;2.6162;13.4;
12.01.1971 00:00:00;21.2506;13.9;
13.01.1971 00:00:00;3.8589;12.8;
14.01.1971 00:00:00;0;12.7;
15.01.1971 00:00:00;0;12.2;
16.01.1971 00:00:00;5.2787;11.6;
17.01.1971 00:00:00;5.3217;12.6;
18.01.1971 00:00:00;2.8024;12.9;
19.01.1971 00:00:00;8.2304;13.6;
20.01.1971 00:00:00;9.1884;13.1;
21.01.1971 00:00:00;4.8003;13;
22.01.1971 00:00:00;3.9405;12;
23.01.1971 00:00:00;2.5311;13.3;
24.01.1971 00:00:00;0.5633;14.1;
25.01.1971 00:00:00;0.0074;13.7;
26.01.1971 00:00:00;0;14.6;
27.01.1971 00:00:00;0.0028;14.4;
28.01.1971 00:00:00;10.6574;12.5;
29.01.1971 00:00:00;2.8022;10.6;
30.01.1971 00:00:00;5.3098;9.5;
31.01.1971 00:00:00;1.8679;9.3;
01.02.1971 00:00:00;8.8652;8.3;
02.02.1971 00:00:00;2.145;9.9;
03.02.1971 00:00:00;1.6042;11.3;
04.02.1971 00:00:00;0;12.4;
05.02.1971 00:00:00;0.013;13.6;
06.02.1971 00:00:00;0.0027;11.5;
07.02.1971 00:00:00;0.0008;11.5;
08.02.1971 00:00:00;0.006;11.2;
09.02.1971 00:00:00;2.1354;12.2;
10.02.1971 00:00:00;0.0119;11.1;
11.02.1971 00:00:00;0.0099;12.9;
12.02.1971 00:00:00;0.0001;13.6;
13.02.1971 00:00:00;0.0027;13.6;
14.02.1971 00:00:00;0.0076;12.2;
15.02.1971 00:00:00;0.3309;11.9;
16.02.1971 00:00:00;0.3502;13.8;
17.02.1971 00:00:00;0.7563;13;
18.02.1971 00:00:00;0;13.2;
19.02.1971 00:00:00;0.0069;13;
20.02.1971 00:00:00;0.0014;11.9;
21.02.1971 00:00:00;0.0009;13.7;
22.02.1971 00:00:00;0.0015;14.9;
23.02.1971 00:00:00;0.0001;16.1;
24.02.1971 00:00:00;0;16.6;
25.02.1971 00:00:00;0;17.8;
26.02.1971 00:00:00;0;17.7;
27.02.1971 00:00:00;0.0006;14.3;
28.02.1971 00:00:00;0.0152;13.8;
01.03.1971 00:00:00;0.001;13;
02.03.1971 00:00:00;0.0006;12.5;
03.03.1971 00:00:00;0.0047;14;
04.03.1971 00:00:00;0.0023;14.4;
05.03.1971 00:00:00;0.0018;14.4;
06.03.1971 00:00:00;0.0049;13.2;
07.03.1971 00:00:00;0.0326;9.2;
08.03.1971 00:00:00;4.529;7.4;
09.03.1971 00:00:00;0.8667;9;
10.03.1971 00:00:00;0.002;10.3;
11.03.1971 00:00:00;0;11.3;
12.03.1971 00:00:00;0.0103;12.4;
13.03.1971 00:00:00;0.1473;12.9;
14.03.1971 00:00:00;0.464;12;
15.03.1971 00:00:00;0.152;11.1;
16.03.1971 00:00:00;5.9995;13;
17.03.1971 00:00:00;5.7025;13;
18.03.1971 00:00:00;6.6686;12.9;
19.03.1971 00:00:00;9.6583;10.8;
20.03.1971 00:00:00;9.1144;9.9;
21.03.1971 00:00:00;0.3935;9.7;
22.03.1971 00:00:00;0.0067;9.7;
23.03.1971 00:00:00;0.0002;10.8;
24.03.1971 00:00:00;0.0007;12.2;
25.03.1971 00:00:00;0.002;14.4;
26.03.1971 00:00:00;0.0082;13;
27.03.1971 00:00:00;0;12.8;
28.03.1971 00:00:00;0;12.9;
29.03.1971 00:00:00;2.0979;11.8;
30.03.1971 00:00:00;1.5362;10.2;
31.03.1971 00:00:00;0;11.1;
01.04.1971 00:00:00;5.8023;12.3;
02.04.1971 00:00:00;6.6277;10.9;
03.04.1971 00:00:00;4.3641;10.6;
04.04.1971 00:00:00;3.3814;11.3;
05.04.1971 00:00:00;31.6018;11.5;
06.04.1971 00:00:00;20.4597;13.5;
07.04.1971 00:00:00;0.4198;12.6;
08.04.1971 00:00:00;1.8945;12.5;
09.04.1971 00:00:00;0;13.4;
10.04.1971 00:00:00;0;13.8;
11.04.1971 00:00:00;0;13.6;
12.04.1971 00:00:00;0.0135;12.6;
13.04.1971 00:00:00;5.8492;14.2;
14.04.1971 00:00:00;3.1107;14.2;
15.04.1971 00:00:00;0;15;
16.04.1971 00:00:00;0.0038;15.7;
17.04.1971 00:00:00;0.003;14.3;
18.04.1971 00:00:00;0.0002;15.9;
19.04.1971 00:00:00;0.007;16.8;
20.04.1971 00:00:00;0.0139;15.9;
21.04.1971 00:00:00;0.0395;15.6;
22.04.1971 00:00:00;0.878;18.9;
23.04.1971 00:00:00;0.0699;13.9;
24.04.1971 00:00:00;0.0342;14.4;
25.04.1971 00:00:00;0.1419;13.7;
26.04.1971 00:00:00;6.3028;12.7;
27.04.1971 00:00:00;19.5824;14.1;
28.04.1971 00:00:00;1.7965;14.4;
29.04.1971 00:00:00;0.0008;14.8;
30.04.1971 00:00:00;0.053;15.2;
01.05.1971 00:00:00;0.1289;13.8;
02.05.1971 00:00:00;0.042;13.1;
03.05.1971 00:00:00;0.4926;14;
04.05.1971 00:00:00;13.6955;13.7;
05.05.1971 00:00:00;3.4348;14.4;
06.05.1971 00:00:00;0.9921;14.7;
07.05.1971 00:00:00;0.0912;14.7;
08.05.1971 00:00:00;0.0634;14.8;
09.05.1971 00:00:00;0.0079;14.2;
10.05.1971 00:00:00;0.0024;15.2;
11.05.1971 00:00:00;0;15.1;
12.05.1971 00:00:00;0;15.6;
13.05.1971 00:00:00;4.9801;15.8;
14.05.1971 00:00:00;24.9788;14.8;
15.05.1971 00:00:00;22.3725;14.6;
16.05.1971 00:00:00;7.1023;14.3;
17.05.1971 00:00:00;7.7211;13.1;
18.05.1971 00:00:00;19.6798;13.5;
19.05.1971 00:00:00;0.1876;14.2;
